Period	Grupp	Serie	Värde
2021-04-01	Valutor mot svenska kronor	1 AUD	6,6047
2021-04-06	Valutor mot svenska kronor	1 AUD	6,6437
2021-04-07	Valutor mot svenska kronor	1 AUD	6,5914
2021-04-08	Valutor mot svenska kronor	1 AUD	6,5714
2021-04-09	Valutor mot svenska kronor	1 AUD	6,5056
2021-04-12	Valutor mot svenska kronor	1 AUD	6,5245
2021-04-13	Valutor mot svenska kronor	1 AUD	6,5251
2021-04-14	Valutor mot svenska kronor	1 AUD	6,5213
2021-04-15	Valutor mot svenska kronor	1 AUD	6,5452
2021-04-16	Valutor mot svenska kronor	1 AUD	6,5351
2021-04-19	Valutor mot svenska kronor	1 AUD	6,5309
2021-04-20	Valutor mot svenska kronor	1 AUD	6,5381
2021-04-21	Valutor mot svenska kronor	1 AUD	6,5163
2021-04-22	Valutor mot svenska kronor	1 AUD	6,5151
2021-04-23	Valutor mot svenska kronor	1 AUD	6,5024
2021-04-26	Valutor mot svenska kronor	1 AUD	6,5089
2021-04-27	Valutor mot svenska kronor	1 AUD	6,5318
2021-04-28	Valutor mot svenska kronor	1 AUD	6,4935
2021-04-29	Valutor mot svenska kronor	1 AUD	6,5033
2021-04-30	Valutor mot svenska kronor	1 AUD	6,5131
2021-04-01	Valutor mot svenska kronor	1 BRL	1,5521
2021-04-06	Valutor mot svenska kronor	1 BRL	1,5376
2021-04-07	Valutor mot svenska kronor	1 BRL	1,5416
2021-04-08	Valutor mot svenska kronor	1 BRL	1,5322
2021-04-09	Valutor mot svenska kronor	1 BRL	1,5366
2021-04-12	Valutor mot svenska kronor	1 BRL	1,5081
2021-04-13	Valutor mot svenska kronor	1 BRL	1,4956
2021-04-14	Valutor mot svenska kronor	1 BRL	1,4845
2021-04-15	Valutor mot svenska kronor	1 BRL	1,4937
2021-04-16	Valutor mot svenska kronor	1 BRL	1,5034
2021-04-19	Valutor mot svenska kronor	1 BRL	1,5092
2021-04-20	Valutor mot svenska kronor	1 BRL	1,5096
2021-04-21	Valutor mot svenska kronor	1 BRL	1,5164
2021-04-22	Valutor mot svenska kronor	1 BRL	1,5076
2021-04-23	Valutor mot svenska kronor	1 BRL	1,5441
2021-04-26	Valutor mot svenska kronor	1 BRL	1,5287
2021-04-27	Valutor mot svenska kronor	1 BRL	1,5429
2021-04-28	Valutor mot svenska kronor	1 BRL	1,5395
2021-04-29	Valutor mot svenska kronor	1 BRL	1,562
2021-04-30	Valutor mot svenska kronor	1 BRL	1,5705
2021-04-01	Valutor mot svenska kronor	1 CAD	6,9473
2021-04-06	Valutor mot svenska kronor	1 CAD	6,9401
2021-04-07	Valutor mot svenska kronor	1 CAD	6,8477
2021-04-08	Valutor mot svenska kronor	1 CAD	6,8273
2021-04-09	Valutor mot svenska kronor	1 CAD	6,7895
2021-04-12	Valutor mot svenska kronor	1 CAD	6,8222
2021-04-13	Valutor mot svenska kronor	1 CAD	6,8183
2021-04-14	Valutor mot svenska kronor	1 CAD	6,7648
2021-04-15	Valutor mot svenska kronor	1 CAD	6,7619
2021-04-16	Valutor mot svenska kronor	1 CAD	6,7443
2021-04-19	Valutor mot svenska kronor	1 CAD	6,7458
2021-04-20	Valutor mot svenska kronor	1 CAD	6,7063
2021-04-21	Valutor mot svenska kronor	1 CAD	6,7081
2021-04-22	Valutor mot svenska kronor	1 CAD	6,7233
2021-04-23	Valutor mot svenska kronor	1 CAD	6,7368
2021-04-26	Valutor mot svenska kronor	1 CAD	6,7165
2021-04-27	Valutor mot svenska kronor	1 CAD	6,7597
2021-04-28	Valutor mot svenska kronor	1 CAD	6,7632
2021-04-29	Valutor mot svenska kronor	1 CAD	6,7889
2021-04-30	Valutor mot svenska kronor	1 CAD	6,8255
2021-04-01	Valutor mot svenska kronor	100 CHF	925,4756
2021-04-06	Valutor mot svenska kronor	100 CHF	928,1457
2021-04-07	Valutor mot svenska kronor	100 CHF	926,7897
2021-04-08	Valutor mot svenska kronor	100 CHF	925,9308
2021-04-09	Valutor mot svenska kronor	100 CHF	925,0887
2021-04-12	Valutor mot svenska kronor	100 CHF	925,0199
2021-04-13	Valutor mot svenska kronor	100 CHF	927,6064
2021-04-14	Valutor mot svenska kronor	100 CHF	922,5758
2021-04-15	Valutor mot svenska kronor	100 CHF	916,1286
2021-04-16	Valutor mot svenska kronor	100 CHF	917,2896
2021-04-19	Valutor mot svenska kronor	100 CHF	916,8076
2021-04-20	Valutor mot svenska kronor	100 CHF	915,7732
2021-04-21	Valutor mot svenska kronor	100 CHF	921,2334
2021-04-22	Valutor mot svenska kronor	100 CHF	917,6956
2021-04-23	Valutor mot svenska kronor	100 CHF	917,305
2021-04-26	Valutor mot svenska kronor	100 CHF	916,047
2021-04-27	Valutor mot svenska kronor	100 CHF	916,0114
2021-04-28	Valutor mot svenska kronor	100 CHF	914,6633
2021-04-29	Valutor mot svenska kronor	100 CHF	916,7133
2021-04-30	Valutor mot svenska kronor	100 CHF	922,746
2021-04-01	Valutor mot svenska kronor	1 CNY	1,3305
2021-04-06	Valutor mot svenska kronor	1 CNY	1,3295
2021-04-07	Valutor mot svenska kronor	1 CNY	1,3184
2021-04-08	Valutor mot svenska kronor	1 CNY	1,3134
2021-04-09	Valutor mot svenska kronor	1 CNY	1,3046
2021-04-12	Valutor mot svenska kronor	1 CNY	1,3075
2021-04-13	Valutor mot svenska kronor	1 CNY	1,3095
2021-04-14	Valutor mot svenska kronor	1 CNY	1,2989
2021-04-15	Valutor mot svenska kronor	1 CNY	1,293
2021-04-16	Valutor mot svenska kronor	1 CNY	1,2942
2021-04-19	Valutor mot svenska kronor	1 CNY	1,2939
2021-04-20	Valutor mot svenska kronor	1 CNY	1,2887
2021-04-21	Valutor mot svenska kronor	1 CNY	1,2999
2021-04-22	Valutor mot svenska kronor	1 CNY	1,2955
