Transaction [id=2, timeStamp=2021-05-04T14:07:34.695113900, currencyCode=NOK, amount=1200, mode=SELL]
Transaction [id=4, timeStamp=2021-05-04T14:07:34.697112400, currencyCode=JPY, amount=600, mode=SELL]
Transaction [id=6, timeStamp=2021-05-04T14:07:34.703116300, currencyCode=JPY, amount=550, mode=BUY]
Transaction [id=8, timeStamp=2021-05-04T14:07:34.707114500, currencyCode=JPY, amount=1350, mode=SELL]
Transaction [id=10, timeStamp=2021-05-04T14:07:34.710114500, currencyCode=USD, amount=750, mode=SELL]
Transaction [id=12, timeStamp=2021-05-04T14:07:34.713115600, currencyCode=NOK, amount=700, mode=SELL]
Transaction [id=15, timeStamp=2021-05-04T14:07:34.720113700, currencyCode=DKK, amount=2450, mode=BUY]
Transaction [id=17, timeStamp=2021-05-04T14:07:34.722114500, currencyCode=CHF, amount=600, mode=SELL]
Transaction [id=19, timeStamp=2021-05-04T14:07:34.730114200, currencyCode=AUD, amount=1000, mode=BUY]
Transaction [id=21, timeStamp=2021-05-04T14:07:34.736114800, currencyCode=CNY, amount=1950, mode=BUY]
Transaction [id=23, timeStamp=2021-05-04T14:07:34.743116400, currencyCode=DKK, amount=1050, mode=BUY]
Transaction [id=25, timeStamp=2021-05-04T14:07:34.745116500, currencyCode=GBP, amount=950, mode=SELL]
Transaction [id=27, timeStamp=2021-05-04T14:07:34.748117, currencyCode=AUD, amount=1750, mode=SELL]
Transaction [id=30, timeStamp=2021-05-04T14:07:34.753117300, currencyCode=EUR, amount=700, mode=BUY]
Transaction [id=32, timeStamp=2021-05-04T14:07:34.755116300, currencyCode=JPY, amount=1600, mode=SELL]
Transaction [id=34, timeStamp=2021-05-04T14:07:34.760117100, currencyCode=AUD, amount=1350, mode=BUY]
Transaction [id=36, timeStamp=2021-05-04T14:07:34.762116400, currencyCode=EUR, amount=600, mode=SELL]
Transaction [id=39, timeStamp=2021-05-04T14:07:34.768117900, currencyCode=DKK, amount=2050, mode=BUY]
Transaction [id=41, timeStamp=2021-05-04T14:07:34.775118100, currencyCode=USD, amount=1500, mode=BUY]
Transaction [id=43, timeStamp=2021-05-04T14:07:34.781119700, currencyCode=AUD, amount=700, mode=BUY]
Transaction [id=46, timeStamp=2021-05-04T14:07:34.787120400, currencyCode=CHF, amount=400, mode=BUY]
Transaction [id=49, timeStamp=2021-05-04T14:07:34.788118900, currencyCode=EUR, amount=1100, mode=SELL]
Transaction [id=51, timeStamp=2021-05-04T14:07:34.789118100, currencyCode=JPY, amount=1100, mode=SELL]
Transaction [id=53, timeStamp=2021-05-04T14:07:34.794119200, currencyCode=NOK, amount=2250, mode=BUY]
Transaction [id=55, timeStamp=2021-05-04T14:07:34.795119200, currencyCode=NOK, amount=150, mode=SELL]
Transaction [id=57, timeStamp=2021-05-04T14:07:34.797119200, currencyCode=RUB, amount=1800, mode=SELL]
Transaction [id=59, timeStamp=2021-05-04T14:07:34.799120200, currencyCode=CNY, amount=850, mode=SELL]
Transaction [id=61, timeStamp=2021-05-04T14:07:34.800120700, currencyCode=AUD, amount=1100, mode=SELL]
Transaction [id=63, timeStamp=2021-05-04T14:07:34.803120700, currencyCode=AUD, amount=1400, mode=BUY]
Transaction [id=65, timeStamp=2021-05-04T14:07:34.808121100, currencyCode=GBP, amount=700, mode=BUY]
Transaction [id=67, timeStamp=2021-05-04T14:07:34.823121100, currencyCode=EUR, amount=2350, mode=BUY]
Transaction [id=69, timeStamp=2021-05-04T14:07:34.827122700, currencyCode=AUD, amount=2150, mode=BUY]
Transaction [id=71, timeStamp=2021-05-04T14:07:34.829587700, currencyCode=JPY, amount=2150, mode=BUY]
Transaction [id=74, timeStamp=2021-05-04T14:07:34.831587400, currencyCode=AUD, amount=1600, mode=SELL]
Transaction [id=76, timeStamp=2021-05-04T14:07:34.832588400, currencyCode=USD, amount=2450, mode=SELL]
Transaction [id=78, timeStamp=2021-05-04T14:07:34.837591500, currencyCode=CHF, amount=450, mode=BUY]
Transaction [id=80, timeStamp=2021-05-04T14:07:34.839588500, currencyCode=EUR, amount=1900, mode=SELL]
Transaction [id=82, timeStamp=2021-05-04T14:07:34.843588600, currencyCode=CNY, amount=1150, mode=BUY]
Transaction [id=84, timeStamp=2021-05-04T14:07:34.849592200, currencyCode=AUD, amount=2300, mode=BUY]
Transaction [id=86, timeStamp=2021-05-04T14:07:34.851589500, currencyCode=AUD, amount=1850, mode=SELL]
Transaction [id=88, timeStamp=2021-05-04T14:07:34.852590200, currencyCode=AUD, amount=500, mode=SELL]
Transaction [id=90, timeStamp=2021-05-04T14:07:34.857590, currencyCode=JPY, amount=750, mode=BUY]
Transaction [id=92, timeStamp=2021-05-04T14:07:34.859589500, currencyCode=JPY, amount=1450, mode=BUY]
Transaction [id=94, timeStamp=2021-05-04T14:07:34.862589600, currencyCode=CNY, amount=2400, mode=BUY]
Transaction [id=96, timeStamp=2021-05-04T14:07:34.865591, currencyCode=NOK, amount=850, mode=BUY]
Transaction [id=98, timeStamp=2021-05-04T14:07:34.867590200, currencyCode=AUD, amount=500, mode=SELL]
Transaction [id=100, timeStamp=2021-05-04T14:07:34.868590400, currencyCode=AUD, amount=750, mode=SELL]
Transaction [id=102, timeStamp=2021-05-04T14:07:34.870592700, currencyCode=DKK, amount=1600, mode=SELL]
Transaction [id=104, timeStamp=2021-05-04T14:07:34.872590800, currencyCode=DKK, amount=450, mode=SELL]
Transaction [id=106, timeStamp=2021-05-04T14:07:34.874591, currencyCode=USD, amount=1100, mode=SELL]
Transaction [id=108, timeStamp=2021-05-04T14:07:34.876594400, currencyCode=USD, amount=1400, mode=SELL]
Transaction [id=110, timeStamp=2021-05-04T14:07:34.880592300, currencyCode=DKK, amount=150, mode=BUY]
Transaction [id=112, timeStamp=2021-05-04T14:07:34.882591200, currencyCode=NOK, amount=350, mode=SELL]
Transaction [id=114, timeStamp=2021-05-04T14:07:34.883590600, currencyCode=JPY, amount=1400, mode=SELL]
Transaction [id=116, timeStamp=2021-05-04T14:07:34.886592600, currencyCode=GBP, amount=700, mode=BUY]
Transaction [id=118, timeStamp=2021-05-04T14:07:34.888591700, currencyCode=RUB, amount=2150, mode=SELL]
Transaction [id=120, timeStamp=2021-05-04T14:07:34.888591700, currencyCode=RUB, amount=550, mode=SELL]
Transaction [id=122, timeStamp=2021-05-04T14:07:34.891592400, currencyCode=RUB, amount=1800, mode=BUY]
Transaction [id=124, timeStamp=2021-05-04T14:07:34.892592, currencyCode=GBP, amount=2450, mode=SELL]
Transaction [id=126, timeStamp=2021-05-04T14:07:34.893592400, currencyCode=NOK, amount=600, mode=SELL]
Transaction [id=128, timeStamp=2021-05-04T14:07:34.895592300, currencyCode=GBP, amount=1650, mode=BUY]
Transaction [id=130, timeStamp=2021-05-04T14:07:34.896593100, currencyCode=EUR, amount=750, mode=SELL]
Transaction [id=132, timeStamp=2021-05-04T14:07:34.898593100, currencyCode=USD, amount=2050, mode=BUY]
Transaction [id=134, timeStamp=2021-05-04T14:07:34.900593700, currencyCode=RUB, amount=350, mode=BUY]
Transaction [id=136, timeStamp=2021-05-04T14:07:34.911593, currencyCode=RUB, amount=950, mode=BUY]
Transaction [id=138, timeStamp=2021-05-04T14:07:34.912595100, currencyCode=AUD, amount=400, mode=SELL]
Transaction [id=140, timeStamp=2021-05-04T14:07:34.915595800, currencyCode=RUB, amount=2200, mode=SELL]
Transaction [id=142, timeStamp=2021-05-04T14:07:34.920594900, currencyCode=RUB, amount=850, mode=BUY]
Transaction [id=144, timeStamp=2021-05-04T14:07:34.922593700, currencyCode=DKK, amount=1950, mode=BUY]
Transaction [id=146, timeStamp=2021-05-04T14:07:34.925594500, currencyCode=EUR, amount=850, mode=BUY]
